"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000000673",1.7283001648959,0.451662317174603,0.628594529977426,0.718527278929428,0.472432234220841,NA,"Haao"
"ENSMUSG00000000682",15.5276123227194,-0.353168533514362,0.298722052470891,-1.18226468582789,0.237100693147978,0.843799754439608,"Cd52"
"ENSMUSG00000000686",16.4065962025824,0.0537911511686712,0.21228857683358,0.253386931934825,0.799969225037033,0.975312278276332,"Abhd15"
"ENSMUSG00000000693",82.51276150564,-0.0888806997035384,0.127932903887073,-0.694744643504646,0.487215345029391,0.916500750646367,"Loxl3"
"ENSMUSG00000000706",0.793121416545622,0.179502076931698,0.978735382758793,0.183402051355015,0.854482566418251,NA,"Btn1a1"
"ENSMUSG00000000708",432.242151044695,-0.0968187004664909,0.110223801641873,-0.878382881231617,0.379735971221531,0.888110956436862,"Kat2b"
"ENSMUSG00000000711",2520.21470953653,-0.0097855077789245,0.0351728915827889,-0.278211637956796,0.780849901601028,0.973436816180276,"Rab5b"
"ENSMUSG00000000724",0.420788412276747,-0.297961999739205,1.46420967449478,-0.203496811235056,0.838746737807671,NA,"Cryba1"
"ENSMUSG00000000730",4.09207683057615,0.168938235080425,0.422830338029465,0.399541423322969,0.689494307941575,0.958837513823082,"Dnmt3l"
"ENSMUSG00000000731",8.42710700147654,-0.326367232186534,0.305317794436969,-1.06894271520722,0.28509548281311,0.85849852197672,"Aire"
"ENSMUSG00000000732",260.276119343313,-0.0140729586083139,0.102057505643985,-0.137892441320344,0.89032542429387,0.987658264414148,"Icosl"
"ENSMUSG00000000738",819.83879672506,-0.0449861528722875,0.0421156890222053,-1.06815663988232,0.285449860077886,0.85849852197672,"Spg7"
"ENSMUSG00000000739",17.5852196033441,0.444921345881514,0.242411028171038,1.83540059723517,0.0664463553014471,0.742419741778021,"Sult5a1"
"ENSMUSG00000000740",3470.00093337262,0.109091864316873,0.0879722262354023,1.24007165653575,0.214948891396884,0.830838486134427,"Rpl13"
"ENSMUSG00000000743",1634.50279949268,0.0317282053103802,0.0404261145029849,0.784844294349326,0.43254486620687,0.903340291862714,"Chmp1a"
"ENSMUSG00000000751",1078.53334704597,0.0111670604727597,0.0381401079755055,0.292790478724693,0.76968230637603,0.971864578891473,"Rpa1"
"ENSMUSG00000000753",149.579445065364,0.106608774777869,0.161653672382668,0.659488728010484,0.509581982041742,0.923512669678679,"Serpinf1"
"ENSMUSG00000000759",745.994729949479,-0.0398626930307192,0.0455090205919248,-0.875929486335562,0.381068368575478,0.888696663830369,"Tubgcp3"
"ENSMUSG00000000766",11.7445465910035,0.427427975719371,0.329445267077658,1.29741725996208,0.194487656955756,0.821731647864879,"Oprm1"
"ENSMUSG00000000776",312.006915295886,0.00593717300149237,0.0523346747374396,0.113446257787573,0.90967676798532,0.9919795424167,"Polr3d"
"ENSMUSG00000000782",22.7582706004585,-0.0679431608524062,0.242436708832796,-0.280251126900362,0.779284843945822,0.97295545007952,"Tcf7"
"ENSMUSG00000000787",5595.38528754519,0.0198751805688485,0.045023453140936,0.44144060888963,0.658894048835907,0.954270875212378,"Ddx3x"
"ENSMUSG00000000791",11.0133439228558,-0.382216060311411,0.351293478979467,-1.08802492269932,0.276584105258742,0.854254940750889,"Il12rb1"
"ENSMUSG00000000792",232.08848883756,0.215610976557908,0.216415643910679,0.99628184294707,0.319113223337856,0.870790040283121,"Slc5a5"
"ENSMUSG00000000794",424.800634612964,-0.135465945187087,0.0940895609643688,-1.4397553118394,0.149936638422902,0.793488195131805,"Kcnn3"
"ENSMUSG00000000804",2606.4219010827,-0.0224427894235731,0.0498460743453126,-0.450241863944971,0.652536053120952,0.954094385475565,"Usp32"
"ENSMUSG00000000805",512.275135582435,-0.157548355898673,0.120965589867831,-1.30242291275406,0.192771854141624,0.820798334858976,"Car4"
"ENSMUSG00000000811",58.8480510821933,0.218939401920537,0.136150286584932,1.60807154661375,0.10781951002956,0.773159511696562,"Txnrd3"
"ENSMUSG00000000817",1.25985178871418,0.385875198927622,0.753593386065293,0.512046955377855,0.608618147389324,NA,"Fasl"
"ENSMUSG00000000823",1402.38785883348,-0.0906501992321719,0.0797373303064401,-1.13686022448698,0.255596722196077,0.847231770673121,"Zfp512b"
"ENSMUSG00000000826",5980.55483492936,-0.0664075341479296,0.0328229489962006,-2.02320437921701,0.0430520803755709,0.702743042473209,"Dnajc5"
"ENSMUSG00000000827",773.378168292876,0.0597269976071682,0.0510611578564833,1.16971490883622,0.242115716382955,0.845920667470488,"Tpd52l2"
"ENSMUSG00000000838",1336.96488032782,0.00398914114827079,0.0529661819292185,0.0753148707906054,0.939964189907162,0.996403698502544,"Fmr1"
"ENSMUSG00000000861",1747.81929656888,0.0116912154721926,0.0731074444596837,0.159918262204335,0.872945462501412,0.985295118678663,"Bcl11a"
